Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
0,0,0,-2.5,0,0,-1.5,0,0
0.02,0.000412560968934229,-0.000412560968194742,-2.50076405516593,1.97764623318232e-07,-1.97766898291411e-07,-1.50076422520935,-0.00041236324804289,-0.00041236321599752
0.04,0.0014215934254627,-0.00142159342505414,-2.502916646785,2.86154474793301e-06,-2.86154079095482e-06,-1.50291865958718,-0.00141873378801638,-0.00141873235665249
0.06,0.00278922124414769,-0.00278922125288396,-2.50626582263758,1.3018403773918e-05,-1.30183928130833e-05,-1.50627352996955,-0.00277621712487599,-0.00277620640655852
0.08,0.00437261439527777,-0.0043726143952225,-2.51064171248672,3.71906071633026e-05,-3.71905860411395e-05,-1.51066050856288,-0.00433547813571358,-0.00433543736959425
0.1,0.00608509079290617,-0.00608509091130828,-2.51589433049171,8.25338466667117e-05,-8.25338174754936e-05,-1.51593036183162,-0.00600270128347175,-0.00600259299286856
0.12,0.00787488442241343,-0.00787488438807612,-2.52189140958402,0.000156389997117091,-0.000156390007682662,-1.52195098651457,-0.00771880095324229,-0.00771857106576949
0.14,0.00970800363193245,-0.00970800392853531,-2.52851612309176,0.000265970850328709,-0.000265970861546245,-1.5286052790519,-0.00944259430351677,-0.00944217308322357
0.16,0.0115660163612952,-0.0115660163875444,-2.53566565960234,0.00041830883168429,-0.000418308903747163,-1.53578993870764,-0.0111486311650099,-0.0111479384326961
0.18,0.0134352552568232,-0.0134352555349728,-2.54324919508456,0.000620090453078257,-0.00062009059356519,-1.54341343702297,-0.012816568259851,-0.0128155155987767
0.2,0.0153087865369843,-0.0153087870468269,-2.55118691279305,0.000877692378114721,-0.000877692539392346,-1.5513951909666,-0.014433098524975,-0.0144315951006257
0.22,0.0171834717521301,-0.0171834715329509,-2.5594086173672,0.0011971512296346,-0.00119715157519861,-1.55966421246644,-0.0159890443574681,-0.0159870015180051
0.24,0.0190552357139562,-0.0190552364208162,-2.56785236448838,0.00158410049378439,-0.00158410086367613,-1.56815765166028,-0.0174746919632752,-0.0174720241588138
0.26,0.0209266941286712,-0.0209266944990006,-2.57646423984766,0.00204389965209541,-0.00204390014448923,-1.57682086336276,-0.018887284600883,-0.0188839167979679
0.28,0.0227979601438145,-0.0227979601524241,-2.58519666192328,0.00258151395104949,-0.00258151464872678,-1.58560545015992,-0.0202219562394671,-0.0202178235388491
0.3,0.0246701314280861,-0.0246701320132048,-2.59400801102341,0.0032015740551669,-0.00320157481430514,-1.59446901623825,-0.0214751569501011,-0.0214702068543309
