Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
0,-2,-1,-5,-2,-1,-4,0,0
0.02,-1.99455007098838,-0.99455007096689,-4.99844185105602,-1.99999939831513,-0.999999398430933,-3.998471546666,0.00544943534653898,-0.00544935429689113
0.04,-1.98618697131096,-0.986186971355559,-4.99397218069544,-1.99999140911432,-0.999991409263033,-3.99416276136044,0.0138061919972961,-0.0138048762756689
0.06,-1.97836190139868,-0.978361901577309,-4.98698652978738,-1.99996094019067,-0.999960939675505,-3.98745315711967,0.0216057589574333,-0.0216007185364269
0.08,-1.97152932868938,-0.971529326977943,-4.97787477955765,-1.99988842581865,-0.999888424367087,-3.97867934161506,0.0283743152249416,-0.0283628997513954
0.1,-1.9655924087544,-0.965592408024535,-4.96697221081191,-1.99975237344989,-0.999752370347529,-3.96813979554592,0.0341865691746734,-0.0341666117484388
0.12,-1.96036495205976,-0.960364949903217,-4.95456349370203,-1.99953083730455,-0.999530833608127,-3.95609863854357,0.0392060011079162,-0.0391759053561478
0.14,-1.95566001260087,-0.955660016051957,-4.94089247654389,-1.99920204971062,-0.999202044152652,-3.94279018579749,0.0435971723891974,-0.0435558074846137
0.16,-1.95133590518444,-0.951335901211891,-4.92617080710436,-1.99874507027261,-0.998745062623223,-3.92842096747524,0.0474803683256451,-0.0474269427768554
0.18,-1.94726860499804,-0.947268594312176,-4.91058276585683,-1.99813973648407,-0.998139724941823,-3.91317399506634,0.0509591351859378,-0.0508930984066893
0.2,-1.94336334922485,-0.943363335909596,-4.89428993361489,-1.99736691465192,-0.997366896214007,-3.89721058351501,0.0541088797586933,-0.0540298491344688
0.22,-1.93954959555204,-0.939549576167968,-4.87743460357632,-1.9964085775872,-0.996408552567186,-3.88067279001967,0.0569819419654364,-0.0568896636751596
0.24,-1.93576667833977,-0.93576665576989,-4.86014157856004,-1.99524768619505,-0.995247653109764,-3.86368584915709,0.0596218162391288,-0.059516137685547
0.26,-1.93197095913036,-0.931970927523558,-4.84252089619425,-1.99386832306043,-0.993868282866297,-3.846359546944,0.0620560918840516,-0.0619369566221901
0.28,-1.92811987326852,-0.928119838843692,-4.82466877480057,-1.99225548391811,-0.992255435135367,-3.82879064534149,0.0643122356404752,-0.0641796612230495
0.3,-1.92418659681444,-0.924186552669074,-4.80667005454692,-1.99039529435528,-0.990395237799021,-3.81106329563892,0.0664030683927984,-0.0662571651919893
0.32,-1.92014067394634,-0.92014062533242,-4.78859855440742,-1.98827471424381,-0.988274649285728,-3.79325162628001,0.0683459209632685,-0.0681868665725135
0.34,-1.9159622158004,-0.915962160267952,-4.77051902124078,-1.98588173981813,-0.985881666274893,-3.77541976848211,0.070148561618054,-0.0699766194403306
0.36,-1.91163223887643,-0.911632173815741,-4.75248774765125,-1.98320523903294,-0.983205157446447,-3.75762362946083,0.0718187376716835,-0.0716342492211973
0.38,-1.90713183524559,-0.907131766984651,-4.73455344686335,-1.98023490980981,-0.980234819646473,-3.73991186107438,0.0733649683876066,-0.0731683428420844
0.4,-1.90244971536235,-0.902449637190531,-4.71675845590613,-1.97696139166147,-0.976961293093948,-3.72232594274618,0.074789066605735,-0.0745807971423937
0.42,-1.89757136541001,-0.897571279702858,-4.69913902287019,-1.97337605175351,-0.973375945005806,-3.7049019775703,0.0760968299811228,-0.0758774747707366
0.44,-1.8924853176607,-0.892485228570677,-4.68172621952327,-1.96947106975059,-0.969470954611255,-3.68767069191872,0.0772918191427544,-0.0770620022325924
0.46,-1.88718363655291,-0.887183535953408,-4.66454653845145,-1.96523942851303,-0.965239305121723,-3.67065791780978,0.0783748599076859,-0.0781352719057006
0.48,-1.88165569674294,-0.881655589592744,-4.64762221981712,-1.96067476819534,-0.960674636743533,-3.65388584806947,0.0793501509403266,-0.0791015360662607
0.5,-1.87589386675234,-0.875893756663894,-4.63097191025299,-1.95577147082586,-0.955771331290372,-3.63737282539066,0.0802196377028569,-0.079962791154844
0.52,-1.86989246436738,-0.869892342370483,-4.61461100977286,-1.95052462089799,-0.950524473311176,-3.62113382594166,0.0809840248085069,-0.0807197854100729
0.54,-1.8636439908395,-0.86364386138544,-4.59855200170325,-1.94492989904564,-0.944929743624627,-3.60518137274561,0.0816464454202397,-0.0813756901508454
