Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
0,1,-1,-3,1,-1,-2,0,0
0.02,0.999301621923039,-1,-3.00305665255852,0.999999407773088,-1,-2.0030568960111,0,0.000697785906674776
0.04,0.997475358191538,-1,-3.01167147102552,0.999991411746105,-1,-2.01167463629328,0,0.00251605620923138
0.06,0.994802284977443,-1,-3.02508082045631,0.999960937679343,-1,-2.02509412639368,0,0.00515867558225868
0.08,0.991453154391815,-1,-3.04260626298021,0.999888453606911,-1,-2.04264184074952,0,0.00843539925289649
0.1,0.987530061637496,-1,-3.06364681757474,0.999752375227347,-1,-2.06372151283918,0,0.0122226179152583
0.12,0.983106997089358,-1,-3.0876686251674,0.999530870355988,-1,-2.08780350607036,0,0.016424611728757
0.14,0.978230938745794,-1,-3.11420112541562,0.999202084774415,-1,-2.11442104408061,0,0.0209726834793468
0.16,0.972947623317131,-1,-3.14282667487303,0.998745091009717,-1,-2.14315948492397,0,0.0258003299591377
0.18,0.967299027030642,-1,-3.17317717232857,0.998139831618632,-1,-2.17365286308324,0,0.0308456957472103
0.2,0.961318647154614,-1,-3.20493073976958,0.997366924381974,-1,-2.20558069013285,0,0.0360560891219609
0.22,0.955057341995884,-1,-3.23780124886697,0.996408576697536,-1,-2.23865657696573,0,0.0413630283610493
0.24,0.948559479554603,-1,-3.27153955726612,0.99524783141307,-1,-2.27263005295618,0,0.0467053304135401
0.26,0.941853299336141,-1,-3.30592960462284,0.993868345633877,-1,-2.3072833033937,0,0.0520385299155384
0.28,0.934993341515598,-1,-3.34078101992221,0.992255463537335,-1,-2.34242184137896,0,0.0572934615645639
0.3,0.928023032439521,-1,-3.37592911997852,0.990395361026126,-1,-2.37787616916545,0,0.0624128408039602
0.32,0.920961192027774,-1,-3.41123191743597,0.988274738255925,-1,-2.41350004639336,0,0.0673644843793402
0.34,0.913849887875956,-1,-3.44656625104465,0.98588177031466,-1,-2.44916392103317,0,0.07209431900577
0.36,0.906711973423025,-1,-3.48182610206851,0.983205316280741,-1,-2.48475600999952,0,0.0765681366712908
0.38,0.89955627565404,-1,-3.51692018201356,0.980234959777427,-1,-2.5201800203224,0,0.0807664650831547
0.4,0.892407016539951,-1,-3.55177055635013,0.976961475334518,-1,-2.55535169688492,0,0.0846555374000018
