Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Hx,Hy,Hz,Alpha,Beta
0,0,0,-0.5,1,2,-4,1,2,-3,0,0
0.02,0.011780851333067,0.0117804879838655,-0.496073049555644,1.00006230716226,1.99984667973767,-3.99878567911456,1.00000000873756,1.999999978484,-2.99878569280536,-0.00015329874722793,-6.22984247351924e-05
0.04,0.023560975967731,0.0235580693085962,-0.49214634134409,1.00022301082955,1.9994522531596,-3.99523868890014,1.00000013602653,1.99999966546441,-2.99523886356686,-0.000547412345741044,-0.000222874804856869
0.06,0.0353396472504152,0.035329838032232,-0.488220117583195,1.00045353997893,1.99888803697789,-3.98949795354146,1.00000068415119,1.9999983189498,-2.98949867244394,-0.0011102823138671,-0.000452855843216646
0.08,0.0471161386171924,0.047092889646985,-0.484294620460936,1.00073458187855,1.99820212160707,-3.98169604898748,1.00000212104747,1.99999479392556,-2.98169792407569,-0.00179267375955177,-0.000732460896575176
0.1,0.0588897236386029,0.0588443217958837,-0.480370092120466,1.00105315005231,1.99742673644222,-3.97195942315196,1.000005085333,1.99998753106884,-2.97196325121368,-0.0025607988318732,-0.00104806491118302
0.12,0.070659676064464,0.0705812349888857,-0.476446774645179,1.00140005981279,1.99658458264643,-3.96040874416416,1.00001035389436,1.99997463853209,-2.96041545606741,-0.00339006565265651,-0.00138970636575492
0.14,0.0824252698686686,0.082300733318284,-0.472524910043777,1.00176877172317,1.99569173288459,-3.94715916413444,1.0000188213347,1.99995394345266,-2.94716977857342,-0.00426222999925855,-0.00174995128161879
0.16,0.0941857792939701,0.0939999251732282,-0.468604740235343,1.00215499824646,1.99475863716929,-3.93232025240797,1.00003152879086,1.99992292168074,-2.93233584200801,-0.00516431911021284,-0.00212347105143587
0.18,0.10594047889675,0.105675923953187,-0.464686507034417,1.0025555422763,1.99379301695885,-3.91599663187,1.00004959766749,1.99987886129997,-2.91601829073441,-0.00608590101841382,-0.00250594723160852
0.2,0.117688643591767,0.117325848780173,-0.460770452136078,1.00296808387158,1.99280039378398,-3.89828819351054,1.00007421523681,1.99981889748454,-2.8983170108607,-0.00701859071209085,-0.002893872673886
0.22,0.129429548696885,0.128946825209557,-0.456856817101038,1.0033912804377,1.99178386008836,-3.87928997533147,1.00010666921408,1.9997399278334,-2.87932701986004,-0.00795619460203821,-0.00328461712974267
0.24,0.141162469977771,0.140535985939293,-0.452945843340743,1.00382457299104,1.99074458262009,-3.85909197454413,1.00014834644275,1.99963861872759,-2.85913828487641,-0.0088942134733049,-0.00367623482882088
